2026-06-14 19:58:42,892 | INFO | customer_support_assistant | Starting file save for uploaded PDF
2026-06-14 21:57:56,739 | INFO | customer_support_assistant | Saving uploaded file to: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs\VENKATESH-K_DATA_ANALYST.pdf
2026-06-14 21:57:56,743 | INFO | customer_support_assistant | File exists after save: True
2026-06-14 21:58:16,626 | INFO | customer_support_assistant | Starting file save for uploaded PDF
2026-06-14 21:58:16,626 | INFO | customer_support_assistant | Current Working Directory: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant
2026-06-14 21:58:16,626 | INFO | customer_support_assistant | Resolved PDF_DIR: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs
2026-06-14 21:58:16,626 | INFO | customer_support_assistant | Saving uploaded file to: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs\VENKATESH-K_DATA_ANALYST.pdf
2026-06-14 21:58:16,635 | INFO | customer_support_assistant | File exists after save: True
2026-06-14 21:59:21,210 | INFO | customer_support_assistant | Starting file save for uploaded PDF
2026-06-14 21:59:21,211 | INFO | customer_support_assistant | Current Working Directory: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant
2026-06-14 21:59:21,211 | INFO | customer_support_assistant | Resolved PDF_DIR: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs
2026-06-14 21:59:21,211 | INFO | customer_support_assistant | Saving uploaded file to: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs\AZ5731403171.pdf
2026-06-14 21:59:21,211 | INFO | customer_support_assistant | File exists after save: True
2026-06-14 22:32:53,701 | INFO | customer_support_assistant | Starting file save for uploaded PDF
2026-06-14 22:32:53,701 | INFO | customer_support_assistant | Current Working Directory: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant
2026-06-14 22:32:53,701 | INFO | customer_support_assistant | Resolved PDF_DIR: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs
2026-06-14 22:32:53,701 | INFO | customer_support_assistant | Saving uploaded file to: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs\Welcome_to_Eversoft Technologies_(May_25-2026)-Archith.pdf
2026-06-14 22:32:53,701 | INFO | customer_support_assistant | File exists after save: True
2026-06-14 22:33:22,028 | INFO | customer_support_assistant | Starting file save for uploaded PDF
2026-06-14 22:33:22,030 | INFO | customer_support_assistant | Current Working Directory: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant
2026-06-14 22:33:22,030 | INFO | customer_support_assistant | Resolved PDF_DIR: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs
2026-06-14 22:33:22,030 | INFO | customer_support_assistant | Saving uploaded file to: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs\venkatesh_resume_Data_Analyst.pdf
2026-06-14 22:33:22,030 | INFO | customer_support_assistant | File exists after save: True
2026-06-14 22:33:53,963 | INFO | customer_support_assistant | Starting file save for uploaded PDF
2026-06-14 22:33:53,963 | INFO | customer_support_assistant | Current Working Directory: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant
2026-06-14 22:33:53,963 | INFO | customer_support_assistant | Resolved PDF_DIR: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs
2026-06-14 22:33:53,966 | INFO | customer_support_assistant | Saving uploaded file to: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs\FAANGPath_Simple_Template__1_ (1).pdf
2026-06-14 22:33:53,966 | INFO | customer_support_assistant | File exists after save: True
2026-06-14 22:35:48,884 | INFO | customer_support_assistant | Starting file save for uploaded PDF
2026-06-14 22:35:48,884 | INFO | customer_support_assistant | Current Working Directory: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant
2026-06-14 22:35:48,884 | INFO | customer_support_assistant | Resolved PDF_DIR: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs
2026-06-14 22:35:48,886 | INFO | customer_support_assistant | Saving uploaded file to: C:\Users\MY PC\Downloads\generative-ai-customer-support-assistant\data\pdfs\BIE RESULTS.pdf
2026-06-14 22:35:48,890 | INFO | customer_support_assistant | File exists after save: True
